Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,Risk Factor
"10092","","","None","10.91.251.173","tcp","21","FTP Server Detection","An FTP server is listening on a remote port.","It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.","n/a","","
The remote FTP banner is :

220-FileZilla Server version 0.9.32 beta
220-written by Tim Kosse (Tim.Kosse@gmx.de)
220 Please visit http://sourceforge.net/projects/filezilla/
","","None"
"10107","","","None","10.91.251.173","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.12 (Win32) DAV/2 mod_ssl/2.2.12 OpenSSL/0.9.8k mod_autoindex_color PHP/5.3.0 mod_perl/2.0.4 Perl/v5.10.0","","None"
"10107","","","None","10.91.251.173","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.12 (Win32) DAV/2 mod_ssl/2.2.12 OpenSSL/0.9.8k mod_autoindex_color PHP/5.3.0 mod_perl/2.0.4 Perl/v5.10.0","","None"
"10107","","","None","10.91.251.173","tcp","5800","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

RealVNC/4.0","","None"
"10114","CVE-1999-0524","0.0","None","10.91.251.173","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The ICMP timestamps seem to be in little endian format (not in network format)
The remote clock is synchronized with the local clock.
","","None"
"10144","","","None","10.91.251.173","tcp","1433","Microsoft SQL Server TCP/IP Listener Detection","A database server is listening on the remote port.","The remote host is running MSSQL, a database server from Microsoft. It
is possible to extract the version number of the remote installation
from the server pre-login response.","Restrict access to the database to allowed IPs only.","","
The remote MSSQL server accepts cleartext logins.
The remote SQL Server version is 9.0.1399.0.

The remote SQL Server instance name is SQLEXPRESS.
","","None"
"10150","","","None","10.91.251.173","udp","137","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 6 NetBIOS names have been gathered :

 DC-0A7927972954  = Computer name
 MSHOME           = Workgroup / Domain name
 DC-0A7927972954  = File Server Service
 MSHOME           = Browser Service Elections
 MSHOME           = Master Browser
 __MSBROWSE__     = Master Browser

The remote host has the following MAC address on its adapter :

   00:0c:29:0f:c0:df","","None"
"10263","","","None","10.91.251.173","tcp","25","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220 dc-0a7927972954 Microsoft ESMTP MAIL Service, Version: 6.0.2600.5512 ready at  Tue, 25 Feb 2020 00:02:33 +0000 
","","None"
"10267","","","None","10.91.251.173","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-WeOnlyDo 2.4.3
SSH supported authentication : password,gssapi-with-mic,publickey
","","None"
"10287","","","None","10.91.251.173","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.91.251.100 to 10.91.251.173 : 
10.91.251.100
10.91.251.173

Hop Count: 1
","","None"
"10342","","","None","10.91.251.173","tcp","5900","VNC Software Detection","The remote host is running a remote display software (VNC).","The remote host is running VNC (Virtual Network Computing), which uses
the RFB (Remote Framebuffer) protocol to provide remote access to
graphical user interfaces and thus permits a console on the remote
host to be displayed on another.","Make sure use of this software is done in accordance with your
organization's security policy and filter incoming traffic to this
port.","https://en.wikipedia.org/wiki/Vnc","
The highest RFB protocol version supported by the server is :

  3.3
","","None"
"10394","","","None","10.91.251.173","tcp","445","Microsoft Windows SMB Log In Possible","It was possible to log into the remote host.","The remote host is running a Microsoft Windows operating system or
Samba, a CIFS/SMB server for Unix. It was possible to log into it
using one of the following accounts :

- NULL session
- Guest account
- Supplied credentials","n/a","https://support.microsoft.com/en-us/help/143474/restricting-information-available-to-anonymous-logon-users
https://support.microsoft.com/en-us/help/246261","- NULL sessions are enabled on the remote host.
","","None"
"10397","","","None","10.91.251.173","tcp","445","Microsoft Windows SMB LanMan Pipe Server Listing Disclosure","It is possible to obtain network information.","It was possible to obtain the browse list of the remote Windows system
by sending a request to the LANMAN pipe. The browse list is the list
of the nearest Windows systems of the remote host.","n/a","","
Here is the browse list of the remote host : 

DC-0A7927972954 ( os : 5.1 ) - 
DC-0A7927972955 ( os : 5.1 ) - 
","","None"
